                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0124,                 1.8729,                 1.3815,                 1.4396,                0.61225,                0.57696,                0.59071,                0.28412,                0.71384,                 0.5012,                0.57288,                0.28691,                 1.8688,                 4.2157,                  2.392,                 2.1652,             0.00055327,             0.00055327,             0.00055327
                      2,                 1.0605,                 1.8524,                 1.2341,                 1.4736,                0.77574,                0.61288,                 0.6183,                0.37538,                 0.7478,                0.59065,                0.57979,                 0.3598,                 1.4152,                 3.3035,                 1.6176,                 1.7065,               0.001098,               0.001098,               0.001098
                      3,                 1.0049,                 1.7425,                 1.1772,                 1.4308,                0.54093,                0.49731,                0.48755,                0.29051,                0.55954,                 0.4892,                0.47628,                0.28249,                 1.5389,                 2.3108,                 2.2742,                  1.689,              0.0016316,              0.0016316,              0.0016316
                      4,                0.96227,                 1.7251,                 1.0963,                 1.3899,                0.73104,                0.55058,                0.57147,                0.35125,                0.72751,                 0.5387,                0.58115,                0.35996,                 1.4532,                 2.2544,                 1.7947,                 1.7213,              0.0016175,              0.0016175,              0.0016175
                      5,                0.92355,                 1.6156,                 1.0628,                 1.3643,                 0.6585,                0.59919,                0.59172,                0.39758,                0.68968,                0.61528,                0.60454,                0.44291,                 1.3208,                 1.9258,                  1.755,                 1.6377,              0.0016175,              0.0016175,              0.0016175
                      6,                0.82214,                 1.5016,                0.93466,                 1.2917,                0.83693,                0.60773,                0.64048,                0.41023,                0.83693,                0.60773,                0.63588,                0.42975,                 1.3214,                 1.9162,                 1.6185,                 1.5708,               0.001601,               0.001601,               0.001601
                      7,                 0.7727,                  1.478,                0.89896,                 1.2585,                0.78936,                0.64152,                0.71229,                0.46942,                0.78936,                0.64152,                0.71286,                 0.4991,                 1.3065,                   1.88,                 1.4011,                 1.5407,              0.0015845,              0.0015845,              0.0015845
                      8,                0.79228,                 1.3717,                0.89445,                 1.2563,                0.81802,                0.66034,                0.73977,                0.48989,                0.83265,                0.66853,                0.72715,                 0.5129,                 1.2272,                 1.6659,                 1.3241,                 1.4533,               0.001568,               0.001568,               0.001568
                      9,                0.77086,                 1.3857,                0.87281,                 1.2553,                0.89972,                0.60032,                0.63836,                0.43212,                0.88068,                0.58717,                 0.6133,                0.45103,                 1.2169,                 2.0264,                 1.6376,                 1.4978,              0.0015515,              0.0015515,              0.0015515
                     10,                0.69615,                 1.2155,                0.78264,                  1.207,                0.86603,                0.61823,                0.67837,                0.45004,                0.86603,                0.61823,                0.67473,                0.50154,                 1.2577,                 1.5729,                 1.4498,                 1.4652,               0.001535,               0.001535,               0.001535
                     11,                0.68934,                 1.2741,                0.76808,                 1.1939,                0.74172,                0.61442,                0.67161,                0.48432,                0.72211,                0.66442,                0.69349,                0.50588,                 1.1861,                 1.7476,                 1.5535,                 1.4635,              0.0015185,              0.0015185,              0.0015185
                     12,                0.66424,                 1.2354,                0.73957,                 1.1686,                0.86919,                0.61673,                0.70704,                0.50002,                0.86919,                0.61673,                0.69978,                0.51085,                 1.1289,                 1.5988,                 1.2292,                 1.4386,               0.001502,               0.001502,               0.001502
                     13,                0.65344,                 1.1416,                0.73686,                 1.1607,                0.91144,                0.59116,                0.72733,                0.52949,                0.75976,                0.67673,                0.71356,                0.54718,                  1.051,                 1.5651,                 1.3223,                 1.2611,              0.0014855,              0.0014855,              0.0014855
                     14,                0.63293,                 1.0695,                0.69784,                 1.1478,                0.82078,                0.61555,                0.67231,                 0.4513,                0.83723,                0.62375,                0.67409,                0.50023,                 1.2798,                 1.9044,                 1.5147,                  1.503,               0.001469,               0.001469,               0.001469
                     15,                0.62886,                 1.1193,                 0.7144,                 1.1541,                0.85193,                 0.5594,                0.65194,                0.49949,                0.86814,                 0.5668,                0.65316,                0.51632,                 1.0687,                  1.573,                 1.3374,                 1.3257,              0.0014525,              0.0014525,              0.0014525
                     16,                0.60686,                 1.0278,                0.66999,                 1.1421,                0.93759,                0.60776,                0.71608,                0.51489,                0.93759,                0.60776,                0.70905,                0.53161,                 1.0838,                 1.5138,                 1.3572,                 1.3363,               0.001436,               0.001436,               0.001436
                     17,                 0.6098,                 1.0781,                 0.6767,                 1.1361,                0.81951,                 0.6081,                0.70821,                0.48454,                0.83405,                0.61576,                0.70676,                0.54977,                 1.0751,                 1.5524,                  1.296,                 1.3448,              0.0014195,              0.0014195,              0.0014195
                     18,                0.60606,                 1.0397,                0.68073,                 1.1371,                0.86957,                0.63937,                0.71609,                0.54436,                0.88111,                0.64648,                0.71736,                0.57159,                 1.0506,                 1.5371,                 1.2047,                 1.3282,              0.0014029,              0.0014029,              0.0014029
                     19,                0.59381,                 1.0143,                0.66937,                  1.131,                0.87597,                0.61987,                 0.6696,                0.49772,                0.89005,                0.62807,                0.67085,                0.53077,                 1.0522,                 1.4699,                  1.474,                 1.3401,              0.0013864,              0.0013864,              0.0013864
                     20,                0.55843,                0.92003,                0.62675,                 1.1007,                0.85242,                0.67468,                0.76681,                0.59331,                0.85238,                0.67387,                0.76077,                0.61517,                0.91313,                 1.2647,                 1.0813,                 1.2028,              0.0013699,              0.0013699,              0.0013699
                     21,                0.54655,                0.92663,                0.60799,                 1.0993,                0.79047,                0.66284,                0.71111,                0.55706,                0.79047,                0.66284,                0.70479,                0.56655,                0.90713,                 1.3422,                 1.3225,                 1.2153,              0.0013534,              0.0013534,              0.0013534
                     22,                0.55298,                0.90466,                0.60376,                 1.1011,                0.86792,                0.66054,                0.73616,                0.57861,                0.88431,                0.66873,                0.74756,                0.58817,                0.92033,                 1.4161,                 1.1312,                 1.1873,              0.0013369,              0.0013369,              0.0013369
                     23,                0.55004,                0.91691,                0.60145,                 1.0958,                0.89499,                0.58474,                0.71139,                0.52854,                0.90941,                0.59294,                0.71425,                0.55484,                0.99671,                 1.4917,                  1.161,                 1.2674,              0.0013204,              0.0013204,              0.0013204
                     24,                0.52648,                0.88017,                 0.5632,                   1.08,                0.85456,                0.71117,                0.77289,                0.57547,                0.86717,                0.71937,                0.77605,                0.61144,                 0.9737,                 1.2735,                 1.0596,                 1.2406,              0.0013039,              0.0013039,              0.0013039
                     25,                0.54351,                0.91135,                0.58822,                 1.0893,                0.85942,                0.64034,                0.74766,                0.57132,                0.85942,                0.64034,                0.74453,                0.60538,                0.91111,                 1.3087,                 1.2233,                 1.2573,              0.0012874,              0.0012874,              0.0012874
                     26,                0.52995,                0.89085,                0.57723,                 1.0864,                0.94549,                0.66473,                0.74817,                0.58695,                0.96041,                0.67293,                 0.7601,                0.62055,                0.88222,                 1.2507,                 1.1578,                 1.1967,              0.0012709,              0.0012709,              0.0012709
                     27,                0.51268,                0.89296,                0.56761,                 1.0705,                0.79859,                0.73092,                0.79378,                0.57997,                0.80527,                0.72573,                 0.7927,                0.60651,                0.97258,                 1.4637,                 1.0001,                 1.2708,              0.0012544,              0.0012544,              0.0012544
                     28,                0.50608,                0.89028,                0.55619,                   1.07,                0.89503,                0.78409,                0.81986,                0.66439,                0.89503,                0.78409,                0.81903,                0.68212,                0.68087,                  1.272,                0.98364,                0.92354,             0.00055427,             0.00055427,             0.00055427
                     29,                0.52139,                0.95395,                0.59621,                 1.0737,                0.90911,                0.80756,                0.83166,                0.67141,                0.91954,                0.80748,                 0.8289,                0.68483,                 0.7483,                 1.2644,                0.97932,                0.98321,               0.001088,               0.001088,               0.001088
                     30,                0.58218,                 1.0159,                 0.6366,                 1.1084,                0.93774,                 0.8226,                0.82101,                0.65649,                 0.9444,                0.82955,                0.83385,                0.67449,                0.79614,                 1.1553,                0.93664,                 1.0201,              0.0015996,              0.0015996,              0.0015996
                     31,                0.55166,                0.96017,                 0.6161,                 1.0864,                0.96344,                0.81566,                0.84365,                0.74144,                0.96344,                0.81566,                0.83927,                0.74902,                0.64728,                 1.1213,                0.95804,                0.89971,               0.001568,               0.001568,               0.001568
                     32,                0.55127,                0.99555,                0.59976,                 1.0866,                0.89423,                0.77778,                0.80341,                0.65749,                0.89423,                0.77778,                0.80097,                0.66976,                0.63539,                 1.4464,                 1.1073,                0.94591,               0.001568,               0.001568,               0.001568
                     33,                0.53637,                0.94057,                0.58316,                 1.0892,                0.94443,                0.78535,                0.83264,                0.69148,                0.94443,                0.78535,                0.82652,                0.72243,                0.69675,                 1.0774,                0.90075,                0.98498,               0.001535,               0.001535,               0.001535
                     34,                0.49533,                0.85316,                0.53594,                 1.0522,                0.92846,                0.79644,                0.83048,                0.68747,                0.92846,                0.79644,                0.83048,                 0.7125,                0.69056,                 1.0772,                 1.0305,                0.90782,               0.001502,               0.001502,               0.001502
                     35,                0.50416,                 0.8601,                0.54066,                 1.0613,                0.96125,                0.81399,                0.84695,                0.71079,                0.96125,                0.81399,                0.84143,                0.75488,                0.68806,                 1.0943,                 0.8272,                 0.9205,               0.001469,               0.001469,               0.001469
                     36,                0.50544,                0.85308,                0.55007,                 1.0636,                0.94802,                0.82676,                0.83821,                0.73013,                0.94802,                0.82676,                 0.8372,                0.74412,                0.59364,                 1.0463,                0.91214,                0.83061,               0.001436,               0.001436,               0.001436
                     37,                0.45832,                0.78206,                0.50019,                 1.0366,                0.93468,                 0.8125,                0.81959,                0.70557,                0.94873,                 0.8226,                0.82586,                0.72646,                0.62491,                 1.0027,                0.92357,                0.85688,              0.0014029,              0.0014029,              0.0014029
                     38,                0.46662,                0.79454,                0.50989,                 1.0361,                0.95426,                0.82924,                0.84468,                0.74562,                0.95494,                0.82838,                0.83284,                0.77183,                0.60231,                  1.008,                0.90896,                0.86105,              0.0013699,              0.0013699,              0.0013699
                     39,                0.46849,                 0.7967,                0.49202,                 1.0382,                0.89364,                0.80957,                0.84456,                0.71974,                0.89364,                0.80957,                0.84209,                0.75112,                0.61787,                  0.979,                0.81024,                0.85869,              0.0013369,              0.0013369,              0.0013369
                     40,                0.44666,                0.73828,                0.46347,                  1.032,                0.91405,                0.81725,                0.85418,                0.76569,                0.90773,                0.81262,                0.85174,                0.77681,                0.52371,                0.90067,                0.81913,                0.79173,              0.0013039,              0.0013039,              0.0013039
                     41,                0.45877,                0.73168,                0.48451,                 1.0354,                0.95265,                0.83441,                 0.8556,                0.77025,                0.95265,                0.83441,                0.84898,                0.77417,                0.55919,                0.90688,                0.80914,                0.82873,              0.0012709,              0.0012709,              0.0012709
                     42,                 0.4298,                0.72361,                0.45921,                 1.0175,                0.94292,                 0.8327,                0.86133,                0.77132,                0.94292,                 0.8327,                0.85848,                0.77898,                 0.5159,                 1.0025,                0.76817,                0.77571,              0.0012379,              0.0012379,              0.0012379
                     43,                0.42423,                0.71678,                0.44111,                 1.0148,                0.95343,                0.82153,                0.86292,                0.80241,                0.95343,                0.82153,                0.85918,                0.79645,                0.48071,                0.97165,                0.76193,                0.74714,              0.0012049,              0.0012049,              0.0012049
                     44,                 0.4427,                0.70117,                0.46498,                 1.0155,                 0.9704,                0.82449,                0.87122,                0.78952,                0.97778,                0.82955,                0.86986,                0.79132,                0.50124,                0.97566,                0.72709,                0.80929,              0.0011719,              0.0011719,              0.0011719
                     45,                0.40887,                0.64426,                0.42029,                0.99896,                0.96618,                 0.8428,                0.86908,                0.79249,                0.96618,                 0.8428,                0.86541,                0.78999,                0.48768,                 1.0698,                0.73523,                0.80375,              0.0011389,              0.0011389,              0.0011389
