                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.50608,                0.89028,                0.55619,                   1.07,                0.89503,                0.78409,                0.81986,                0.66439,                0.89503,                0.78409,                0.81903,                0.68212,                0.68087,                  1.272,                0.98364,                0.92354,             0.00055427,             0.00055427,             0.00055427
                      2,                0.52139,                0.95395,                0.59621,                 1.0737,                0.90911,                0.80756,                0.83166,                0.67141,                0.91954,                0.80748,                 0.8289,                0.68483,                 0.7483,                 1.2644,                0.97932,                0.98321,               0.001088,               0.001088,               0.001088
                      3,                0.58218,                 1.0159,                 0.6366,                 1.1084,                0.93774,                 0.8226,                0.82101,                0.65649,                 0.9444,                0.82955,                0.83385,                0.67449,                0.79614,                 1.1553,                0.93664,                 1.0201,              0.0015996,              0.0015996,              0.0015996
                      4,                0.55166,                0.96017,                 0.6161,                 1.0864,                0.96344,                0.81566,                0.84365,                0.74144,                0.96344,                0.81566,                0.83927,                0.74902,                0.64728,                 1.1213,                0.95804,                0.89971,               0.001568,               0.001568,               0.001568
                      5,                0.55127,                0.99555,                0.59976,                 1.0866,                0.89423,                0.77778,                0.80341,                0.65749,                0.89423,                0.77778,                0.80097,                0.66976,                0.63539,                 1.4464,                 1.1073,                0.94591,               0.001568,               0.001568,               0.001568
                      6,                0.53637,                0.94057,                0.58316,                 1.0892,                0.94443,                0.78535,                0.83264,                0.69148,                0.94443,                0.78535,                0.82652,                0.72243,                0.69675,                 1.0774,                0.90075,                0.98498,               0.001535,               0.001535,               0.001535
                      7,                0.49533,                0.85316,                0.53594,                 1.0522,                0.92846,                0.79644,                0.83048,                0.68747,                0.92846,                0.79644,                0.83048,                 0.7125,                0.69056,                 1.0772,                 1.0305,                0.90782,               0.001502,               0.001502,               0.001502
                      8,                0.50416,                 0.8601,                0.54066,                 1.0613,                0.96125,                0.81399,                0.84695,                0.71079,                0.96125,                0.81399,                0.84143,                0.75488,                0.68806,                 1.0943,                 0.8272,                 0.9205,               0.001469,               0.001469,               0.001469
                      9,                0.50544,                0.85308,                0.55007,                 1.0636,                0.94802,                0.82676,                0.83821,                0.73013,                0.94802,                0.82676,                 0.8372,                0.74412,                0.59364,                 1.0463,                0.91214,                0.83061,               0.001436,               0.001436,               0.001436
                     10,                0.45832,                0.78206,                0.50019,                 1.0366,                0.93468,                 0.8125,                0.81959,                0.70557,                0.94873,                 0.8226,                0.82586,                0.72646,                0.62491,                 1.0027,                0.92357,                0.85688,              0.0014029,              0.0014029,              0.0014029
                     11,                0.46662,                0.79454,                0.50989,                 1.0361,                0.95426,                0.82924,                0.84468,                0.74562,                0.95494,                0.82838,                0.83284,                0.77183,                0.60231,                  1.008,                0.90896,                0.86105,              0.0013699,              0.0013699,              0.0013699
                     12,                0.46849,                 0.7967,                0.49202,                 1.0382,                0.89364,                0.80957,                0.84456,                0.71974,                0.89364,                0.80957,                0.84209,                0.75112,                0.61787,                  0.979,                0.81024,                0.85869,              0.0013369,              0.0013369,              0.0013369
                     13,                0.44666,                0.73828,                0.46347,                  1.032,                0.91405,                0.81725,                0.85418,                0.76569,                0.90773,                0.81262,                0.85174,                0.77681,                0.52371,                0.90067,                0.81913,                0.79173,              0.0013039,              0.0013039,              0.0013039
                     14,                0.45877,                0.73168,                0.48451,                 1.0354,                0.95265,                0.83441,                 0.8556,                0.77025,                0.95265,                0.83441,                0.84898,                0.77417,                0.55919,                0.90688,                0.80914,                0.82873,              0.0012709,              0.0012709,              0.0012709
                     15,                 0.4298,                0.72361,                0.45921,                 1.0175,                0.94292,                 0.8327,                0.86133,                0.77132,                0.94292,                 0.8327,                0.85848,                0.77898,                 0.5159,                 1.0025,                0.76817,                0.77571,              0.0012379,              0.0012379,              0.0012379
                     16,                0.42423,                0.71678,                0.44111,                 1.0148,                0.95343,                0.82153,                0.86292,                0.80241,                0.95343,                0.82153,                0.85918,                0.79645,                0.48071,                0.97165,                0.76193,                0.74714,              0.0012049,              0.0012049,              0.0012049
                     17,                 0.4427,                0.70117,                0.46498,                 1.0155,                 0.9704,                0.82449,                0.87122,                0.78952,                0.97778,                0.82955,                0.86986,                0.79132,                0.50124,                0.97566,                0.72709,                0.80929,              0.0011719,              0.0011719,              0.0011719
                     18,                0.40887,                0.64426,                0.42029,                0.99896,                0.96618,                 0.8428,                0.86908,                0.79249,                0.96618,                 0.8428,                0.86541,                0.78999,                0.48768,                 1.0698,                0.73523,                0.80375,              0.0011389,              0.0011389,              0.0011389
