                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.73953,                 1.3561,                0.89143,                 1.2295,                0.87257,                0.82679,                0.83641,                0.61171,                0.87966,                0.83203,                0.84336,                0.63118,                0.99916,                 1.3723,                  1.103,                 1.1801,             0.00055483,             0.00055483,             0.00055483
                      2,                 0.6875,                 1.2525,                0.74631,                 1.1832,                0.91866,                0.81238,                0.86443,                0.65461,                0.92028,                0.80863,                0.85708,                0.74685,                0.80049,                 1.2455,                 1.1095,                 1.0546,              0.0010995,              0.0010995,              0.0010995
                      3,                0.62139,                 1.1604,                0.65656,                 1.1323,                0.90294,                0.86197,                0.86906,                0.72117,                0.90035,                0.86397,                0.87013,                 0.7224,                0.70635,                 1.1677,                 1.0459,                0.93843,              0.0016332,              0.0016332,              0.0016332
                      4,                0.55471,                 1.0249,                0.58665,                   1.09,                0.96216,                0.85285,                0.88809,                0.78422,                0.95701,                0.85215,                0.88549,                0.80695,                0.59088,                 1.0013,                0.90103,                0.79335,              0.0016175,              0.0016175,              0.0016175
                      5,                0.53412,                  1.009,                0.55864,                 1.0753,                0.94027,                0.87318,                0.88638,                0.75915,                 0.9364,                0.86959,                0.88291,                0.77792,                0.56152,                0.93372,                0.79864,                0.79008,              0.0016175,              0.0016175,              0.0016175
                      6,                0.49245,                 0.9218,                0.51522,                 1.0475,                0.93779,                0.85355,                0.87917,                0.76615,                0.93588,                0.85188,                0.87526,                0.78476,                0.54753,                0.82307,                 1.0209,                0.76718,               0.001601,               0.001601,               0.001601
                      7,                0.48204,                0.88249,                0.48883,                 1.0395,                0.95514,                0.87276,                0.88749,                0.80121,                0.95526,                  0.873,                0.88884,                0.82397,                0.51561,                0.90061,                0.77412,                0.73615,              0.0015845,              0.0015845,              0.0015845
                      8,                0.46728,                0.84501,                0.47453,                 1.0341,                0.95918,                0.87556,                 0.8895,                0.79934,                0.95918,                0.87556,                0.88897,                0.81911,                0.49704,                0.79381,                0.85285,                0.74848,               0.001568,               0.001568,               0.001568
                      9,                0.44434,                0.79891,                0.44882,                 1.0197,                0.92533,                0.85503,                    0.9,                0.81829,                0.92168,                0.85671,                0.89756,                0.83328,                0.47169,                0.75684,                0.67719,                0.69831,              0.0015515,              0.0015515,              0.0015515
                     10,                0.42878,                0.77164,                0.43096,                 1.0071,                0.95118,                 0.8682,                0.87478,                0.78116,                0.95159,                 0.8682,                0.87619,                0.80992,                0.47472,                0.76896,                0.86494,                0.70527,               0.001535,               0.001535,               0.001535
                     11,                0.41708,                0.75124,                0.42216,                 1.0019,                0.97344,                0.88332,                0.90952,                 0.8378,                0.97344,                0.88332,                 0.9073,                0.85628,                 0.4333,                0.72735,                0.54808,                0.67991,              0.0015185,              0.0015185,              0.0015185
                     12,                0.41957,                 0.7301,                0.41619,                0.99851,                0.98086,                0.87445,                0.89715,                0.83573,                0.98086,                0.87445,                0.89814,                0.85877,                0.41695,                0.73432,                0.72539,                0.65143,               0.001502,               0.001502,               0.001502
                     13,                 0.4058,                0.70177,                0.40803,                0.99086,                0.97601,                0.88089,                0.91744,                0.84444,                0.97454,                0.88225,                0.91697,                0.85594,                0.41963,                0.71273,                0.52139,                0.64713,              0.0014855,              0.0014855,              0.0014855
                     14,                0.40563,                0.69887,                0.40359,                0.99344,                0.97105,                0.88164,                0.90862,                0.84429,                0.97595,                0.88535,                0.90774,                0.86344,                 0.4029,                 0.7272,                0.57809,                0.65426,               0.001469,               0.001469,               0.001469
                     15,                0.38692,                0.68986,                0.38096,                0.97749,                0.96838,                 0.8817,                0.90007,                0.84197,                0.97035,                0.88203,                0.90068,                0.85327,                0.40114,                0.74221,                0.79857,                0.64241,              0.0014525,              0.0014525,              0.0014525
                     16,                0.38118,                0.64095,                 0.3743,                0.97139,                0.95601,                0.88751,                0.90093,                0.84626,                0.95547,                0.88769,                0.89997,                0.85386,                0.42009,                0.79187,                0.69356,                0.60839,               0.001436,               0.001436,               0.001436
                     17,                0.37753,                0.63445,                0.37502,                0.97884,                0.96024,                0.88473,                0.91082,                0.84925,                0.95831,                0.88305,                0.90923,                0.86098,                0.37919,                0.71474,                0.50996,                0.64531,              0.0014195,              0.0014195,              0.0014195
